room,occupancy,ratty_dist,main_green_dist,nelson_dist,score
Minden 807,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,1.7769704442608452
Slater Hall 207,1,0.002806513539954872,0.0007437440755971646,0.007344800082368266,1.804737854124365
Minden 409,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,1.9397914275594323
Minden 609,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,2.1625141686974581
Minden 309,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,2.2360679774997898
Minden 209,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,2.5073355063695222
Minden 305,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,2.6389584337646843
315 Thayer 413,1,0.005500862489193929,0.005098049933559857,0.0027919816663132956,2.6457513110645907
Gregorian Quad B 404D,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,2.6457513110645907
Minden 709,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,2.6822344868874488
Slater Hall 205,1,0.002806513539954872,0.0007437440755971646,0.007344800082368266,2.9331915130339836
Wayland House 223,1,0.001267304447430376,0.0014637042264405676,0.006804492932058727,3.0
Barbour Hall 104,1,0.003332573573834245,0.005684611123463421,0.006333645168855496,3.2386127875258306
Slater Hall 305,1,0.002806513539954872,0.0007437440755971646,0.007344800082368266,3.4205586539460633
Slater Hall 307,1,0.002806513539954872,0.0007437440755971646,0.007344800082368266,3.5599948243285091
Minden 205,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,4.0161450660285434
315 Thayer 417,1,0.005500862489193929,0.005098049933559857,0.0027919816663132956,4.2160365732986858
Gregorian Quad A 408F,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,4.4721359549995796
Miller 114,1,0.005212861018669829,0.004169463514652968,0.004259293486018543,4.5246573516820519
Slater Hall 105,1,0.002806513539954872,0.0007437440755971646,0.007344800082368266,4.6236454229439339
Minden 605,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,4.6476266630569523
Minden 805,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,4.76066396424961
Minden 405,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,4.8228756555322949
315 Thayer 418,1,0.005500862489193929,0.005098049933559857,0.0027919816663132956,4.8341441888531058
Gregorian Quad B 405C,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,4.8544285004133716
315 Thayer 419,1,0.005500862489193929,0.005098049933559857,0.0027919816663132956,4.8979157616563596
315 Thayer 420,1,0.005500862489193929,0.005098049933559857,0.0027919816663132956,4.9494897427831779
Minden 705,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,4.9612856554049252
Hegeman A202,1,0.000737563556578321,0.002443330923145061,0.005211220682341406,4.9857122725051921
315 Thayer 415,1,0.005500862489193929,0.005098049933559857,0.0027919816663132956,5.0
Slater Hall 206,1,0.002806513539954872,0.0007437440755971646,0.007344800082368266,5.0178764389803758
Metcalf 114,1,0.005288619668685294,0.004033401046268356,0.004736000105582614,5.1709518668856109
Metcalf 401,1,0.005288619668685294,0.004033401046268356,0.004736000105582614,5.3342475897304942
Slater Hall 306,1,0.002806513539954872,0.0007437440755971646,0.007344800082368266,5.3942160892182445
Minden 505,1,0.0030075321890393027,0.004380876590541181,0.003093355923274806,5.5311288741492746
Gregorian Quad B 401B,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,5.5871988399009433
Miller 417,1,0.005212861018669829,0.004169463514652968,0.004259293486018543,5.6993098461614
Gregorian Quad B 405B,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,5.7879842025835675
315 Thayer 320,2,0.005500862489193929,0.005098049933559857,0.0027919816663132956,5.8548600637356314
Slater Hall 106,1,0.002806513539954872,0.0007437440755971646,0.007344800082368266,5.9403485229423154
Grad Center C 410B,2,0.0021406068210932747,0.004200176908475531,0.007408663311455689,6.0827625302982193
Hegeman A302,1,0.000737563556578321,0.002443330923145061,0.005211220682341406,6.1204097037677734
Gregorian Quad A 409A,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,6.2251188739212822
315 Thayer 130,3,0.005500862489193929,0.005098049933559857,0.0027919816663132956,6.2321007377780502
Gregorian Quad B 401C,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,6.2368904198601784
315 Thayer 414,1,0.005500862489193929,0.005098049933559857,0.0027919816663132956,6.2449979983983983
Gregorian Quad A 408D,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,6.3663007435384431
East Andrews 306,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,6.4335453564497413
315 Thayer 430,3,0.005500862489193929,0.005098049933559857,0.0027919816663132956,6.4378842658479396
East Andrews 420,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,6.4555863961070026
West Andrews 317,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,6.4604358659874528
Hegeman E115,1,0.000737563556578321,0.002443330923145061,0.005211220682341406,6.4807406984078604
Gregorian Quad B 402C,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,6.4832901320566165
Gregorian Quad A 410A,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,6.4833578709332693
Gregorian Quad B 402A,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,6.5895706235833691
Gregorian Quad B 403F,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,6.5945803352087511
Gregorian Quad B 404B,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,6.6332495807107996
Grad center A 642,1,0.0020333010414150987,0.0038169523346524735,0.007674111324775531,6.7082039324993694
Morris Hall 120,2,0.004877948441707044,0.004103928483785345,0.0037142280490035425,6.783038651923051
Hegeman A102,1,0.000737563556578321,0.002443330923145061,0.005211220682341406,6.8546417028451163
Gregorian Quad B 403B,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,6.9287993990340411
315 Thayer 210,4,0.005500862489193929,0.005098049933559857,0.0027919816663132956,7.0
Gregorian Quad A 411,3,0.0022190581085024387,0.00450841090506558,0.006818289171203985,7.0616823521334187
Hegeman E114,1,0.000737563556578321,0.002443330923145061,0.005211220682341406,7.0670265031603474
West Andrews 217,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,7.096515510471896
Metcalf 300,1,0.005288619668685294,0.004033401046268356,0.004736000105582614,7.1571942565199604
Gregorian Quad B 403C,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,7.2088392411164302
East Andrews 222,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,7.3255787328879434
Gregorian Quad A 409E,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,7.3301853083519308
315 Thayer 230,3,0.005500862489193929,0.005098049933559857,0.0027919816663132956,7.3484692283495345
West Andrews 419,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,7.4108101439955023
315 Thayer 220,2,0.005500862489193929,0.005098049933559857,0.0027919816663132956,7.416198487095663
Gregorian Quad A 408E,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,7.4355240608131341
Gregorian Quad A 408B,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,7.4556591505363885
Metcalf 121,1,0.005288619668685294,0.004033401046268356,0.004736000105582614,7.462604811114967
Miller 407,1,0.005212861018669829,0.004169463514652968,0.004259293486018543,7.4634402936896933
Metcalf 220,1,0.005288619668685294,0.004033401046268356,0.004736000105582614,7.5287345689613518
Gregorian Quad A 409D,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,7.5523951252145398
315 Thayer 330,3,0.005500862489193929,0.005098049933559857,0.0027919816663132956,7.6811457478686078
Gregorian Quad A 410D,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,7.723331332960794
Wayland House 323,1,0.001267304447430376,0.0014637042264405676,0.006804492932058727,7.7672603552317909
Gregorian Quad B 402F,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,7.8174436308052737
Metcalf 200,1,0.005288619668685294,0.004033401046268356,0.004736000105582614,7.8257575185495156
West Andrews 319,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,7.8339360517231498
Gregorian Quad B 403A,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,7.8451148718159276
East Andrews 406,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,7.8466746629578337
East Andrews 320,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,7.8482808836003501
315 Thayer 310,4,0.005500862489193929,0.005098049933559857,0.0027919816663132956,7.9056309036027912
Gregorian Quad B 402B,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,7.9438625728646546
Wayland House 320,1,0.001267304447430376,0.0014637042264405676,0.006804492932058727,7.9581091834810991
Gregorian Quad B 405A,1,0.002313591844348081,0.004546342473777835,0.007093941656247761,7.999446562674831
Metcalf 204,1,0.005288619668685294,0.004033401046268356,0.004736000105582614,8.0102565910092096
Gregorian Quad A 410E,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,8.051211680447615
East Andrews 208,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.0688905329374698
East Andrews 256,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.0757585503042382
East Andrews 460,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.0811140024032699
East Andrews 360,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.0863224048758635
West Andrews 219,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.1920642755609112
East Andrews 308,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.1927308023507344
Miller 401,1,0.005212861018669829,0.004169463514652968,0.004259293486018543,8.2062874714746403
East Andrews 220,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.3340383151453725
Barbour Hall 304,1,0.003332573573834245,0.005684611123463421,0.006333645168855496,8.3463108996934068
Gregorian Quad A 409F,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,8.3741627659256856
Miller 418,1,0.005212861018669829,0.004169463514652968,0.004259293486018543,8.3885305160358072
Gregorian Quad A 410F,1,0.0022190581085024387,0.00450841090506558,0.006818289171203985,8.5011811925388052
Minden 301,3,0.0030075321890393027,0.004380876590541181,0.003093355923274806,8.5138213009417392
West Andrews 417,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.6072006160073453
Machado 235,1,0.00621664153702415,0.004264503957080351,0.006829094888779054,8.6602540378443873
Gregorian Quad B 405A,2,0.002313591844348081,0.004546342473777835,0.007093941656247761,8.7062378979299595
West Andrews 303,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.7153068543007564
Young Orchard #10 220,4,0.005475100963684571,0.00776915787344569,0.006461320148576052,8.7239870833558051
Grad Center D 211,1,0.0016369324398140387,0.0037827654318648585,0.006953484940123228,8.746427842267952
Metcalf 212,1,0.005288619668685294,0.004033401046268356,0.004736000105582614,8.7541096943526178
Young Orchard #2 330,4,0.004438724429671429,0.006759133528978754,0.006240018154015606,8.7969285916067861
Metcalf 201,1,0.005288619668685294,0.004033401046268356,0.004736000105582614,8.8145883948705031
East Andrews 322,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.8571242799206917
West Andrews 305,1,0.0054103100018756236,0.004249048121805616,0.004532952370311898,8.9022419799980508
